town,year,bike_inj,bike_fat,bike_tot,ped_inj,ped_fat,ped_tot
Boston,2015,50,3,72,97,7,145
Boxborough,2015,0,0,0,1,0,1
Braintree,2015,3,0,4,8,0,10
Brookline,2015,16,0,25,18,0,30
Burlington,2015,6,0,6,4,0,6
Cambridge,2015,94,1,149,54,0,81
Canton,2015,2,0,2,5,0,4
Carlisle,2015,0,0,0,0,0,0
Chelsea,2015,5,0,8,30,0,33
Cohasset,2015,4,0,3,1,0,1
Concord,2015,2,0,4,6,0,5
Danvers,2015,5,0,8,7,0,9
Dedham,2015,1,0,1,6,1,9
Dover,2015,2,0,2,1,0,1
Essex,2015,2,0,2,0,0,0
Everett,2015,4,0,10,8,1,21
Foxborough,2015,1,0,2,5,1,3
Framingham,2015,18,0,22,23,0,31
Franklin,2015,0,0,0,4,0,4
Gloucester,2015,2,0,4,4,0,7
Hamilton,2015,1,0,4,0,0,0
Hingham,2015,2,0,3,2,1,4
Holbrook,2015,0,0,1,2,0,3
Holliston,2015,0,0,0,0,1,1
Hopkinton,2015,2,0,2,0,0,1
Hudson,2015,6,0,6,4,0,5
Hull,2015,2,0,3,2,0,3
Ipswich,2015,2,0,2,1,0,1
Lexington,2015,15,0,15,3,0,7
Lincoln,2015,0,0,0,0,0,2
Littleton,2015,1,0,2,0,0,1
Lynn,2015,27,0,44,81,1,109
Lynnfield,2015,0,0,0,0,0,0
Malden,2015,4,0,5,16,1,25
Manchester,2015,0,0,0,0,0,1
Marblehead,2015,1,0,5,3,0,4
Marlborough,2015,9,0,10,12,0,13
Marshfield,2015,1,0,2,2,0,2
Maynard,2015,5,0,5,2,0,2
Medfield,2015,2,0,2,1,0,1
Medford,2015,11,0,15,23,0,27
Medway,2015,2,0,1,0,0,0
Melrose,2015,1,0,2,6,0,9
Middleton,2015,1,0,1,0,0,0
Milford,2015,2,0,4,8,0,11
Millis,2015,0,0,1,0,0,0
Milton,2015,4,0,4,2,0,3
Nahant,2015,0,0,0,0,0,0
Natick,2015,13,0,17,8,0,9
Needham,2015,4,0,4,2,0,4
Newton,2015,30,0,37,33,0,41
Norfolk,2015,0,0,0,1,0,1
North Reading,2015,3,0,3,1,0,1
Norwell,2015,2,0,2,2,0,2
Norwood,2015,3,0,4,11,0,13
Peabody,2015,4,0,4,11,1,15
Quincy,2015,12,0,16,54,3,72
Randolph,2015,4,0,4,19,2,22
Reading,2015,3,0,6,5,0,6
Revere,2015,6,0,9,35,1,40
Rockland,2015,1,0,1,5,0,6
Rockport,2015,0,0,0,1,0,1
Salem,2015,10,0,10,10,1,16
Saugus,2015,1,0,1,7,2,10
Scituate,2015,1,0,3,1,0,1
Sharon,2015,1,0,1,1,0,1
Sherborn,2015,1,0,1,0,0,0
Somerville,2015,28,0,43,29,0,37
Southborough,2015,1,0,1,0,0,0
Stoneham,2015,1,0,4,6,1,8
Stow,2015,0,0,0,2,0,2
Sudbury,2015,2,1,4,2,0,2
Swampscott,2015,2,0,2,5,0,8
Topsfield,2015,0,0,0,0,0,0
Wakefield,2015,8,0,8,8,0,9
Walpole,2015,0,0,1,3,0,3
Waltham,2015,22,0,27,37,1,36
Watertown,2015,7,0,8,8,1,10
Wayland,2015,1,0,1,0,0,1
Wellesley,2015,7,0,10,2,0,2
Wenham,2015,0,0,0,0,0,0
Weston,2015,2,0,3,1,0,2
Westwood,2015,5,0,5,2,0,3
Weymouth,2015,6,0,8,24,0,31
Wilmington,2015,0,0,1,9,0,8
Winchester,2015,2,0,2,1,0,1
Winthrop,2015,3,0,4,6,0,9
Woburn,2015,7,0,8,11,0,11
Wrentham,2015,1,0,1,0,0,0
Total,2015,545,5,766,842,31,1135
Acton,2016,0,0,1,3,0,8
Arlington,2016,15,0,25,10,0,23
Ashland,2016,2,0,2,1,0,1
Bedford,2016,7,0,8,3,0,3
Bellingham,2016,3,0,4,2,0,2
Belmont,2016,7,0,8,8,0,9
Beverly,2016,3,0,3,7,0,7
Bolton,2016,0,0,0,0,0,0
Boston,2016,56,0,83,119,14,174
Boxborough,2016,1,0,1,0,0,1
Braintree,2016,2,0,4,5,2,8
Brookline,2016,29,0,40,26,0,39
Burlington,2016,3,0,4,8,0,8
Cambridge,2016,126,2,215,84,3,129
Canton,2016,1,0,1,2,0,2
Carlisle,2016,0,0,0,0,0,0
Chelsea,2016,7,0,9,33,1,40
Cohasset,2016,2,0,3,1,0,1
Concord,2016,6,0,7,5,0,5
Danvers,2016,3,0,4,7,1,6
Dedham,2016,2,0,4,6,0,9
Dover,2016,4,0,4,1,0,2
Essex,2016,1,0,1,0,0,0
Everett,2016,3,0,4,13,0,22
Foxborough,2016,2,0,3,5,0,5
Framingham,2016,20,0,12,58,1,44
Franklin,2016,2,0,3,2,0,3
Gloucester,2016,0,0,0,4,0,6
Hamilton,2016,1,0,1,0,0,0
Hingham,2016,1,0,5,1,1,3
Holbrook,2016,0,0,0,0,0,2
Holliston,2016,2,0,2,1,0,1
Hopkinton,2016,2,0,2,4,0,3
Hudson,2016,2,0,2,3,0,3
Hull,2016,1,0,2,2,0,2
Ipswich,2016,3,0,4,3,0,3
Lexington,2016,13,0,19,6,0,7
Lincoln,2016,2,2,4,0,0,0
Littleton,2016,0,1,1,0,0,0
Lynn,2016,30,0,50,99,0,126
Lynnfield,2016,0,0,0,3,0,3
Malden,2016,8,0,14,43,2,58
Manchester,2016,3,0,3,0,0,0
Marblehead,2016,4,0,8,1,0,3
Marlborough,2016,4,0,5,11,0,13
Marshfield,2016,1,0,1,3,0,4
Maynard,2016,0,0,0,1,0,2
Medfield,2016,0,0,0,0,0,0
Medford,2016,8,0,12,37,1,44
Medway,2016,0,0,0,0,0,0
Melrose,2016,3,0,4,3,2,6
Middleton,2016,0,0,0,0,0,0
Milford,2016,4,0,5,8,1,9
Millis,2016,0,0,0,0,0,1
Milton,2016,2,0,5,3,1,4
Nahant,2016,0,0,0,0,0,0
Natick,2016,3,0,4,6,1,10
Needham,2016,8,0,8,9,0,10
Newton,2016,34,0,43,60,2,60
Norfolk,2016,1,0,1,0,0,0
North Reading,2016,1,0,1,1,0,1
Norwell,2016,1,0,2,0,0,0
Norwood,2016,1,0,5,4,0,6
Peabody,2016,9,0,11,19,0,20
Quincy,2016,16,0,25,54,4,73
Randolph,2016,4,0,6,10,1,11
Reading,2016,1,0,1,2,1,3
Revere,2016,10,0,14,17,2,26
Rockland,2016,2,0,2,1,1,5
Rockport,2016,1,0,1,0,0,0
Salem,2016,3,0,6,7,0,14
Saugus,2016,5,0,4,3,0,3
Scituate,2016,0,0,2,0,0,1
Sharon,2016,1,0,2,2,0,2
Sherborn,2016,1,0,1,0,0,0
Somerville,2016,48,0,67,32,0,43
Southborough,2016,1,0,1,2,0,2
Stoneham,2016,1,0,1,10,1,13
Stow,2016,0,0,1,0,0,0
Sudbury,2016,1,0,1,2,0,2
Swampscott,2016,2,0,3,2,1,4
Topsfield,2016,0,0,0,0,0,0
Wakefield,2016,3,0,4,6,0,8
Walpole,2016,3,0,3,4,0,4
Waltham,2016,16,0,27,35,2,40
Watertown,2016,16,0,17,17,1,17
Wayland,2016,4,0,4,4,0,4
Wellesley,2016,6,0,10,13,0,10
Wenham,2016,0,0,1,0,0,0
Weston,2016,3,0,4,0,0,1
Westwood,2016,0,0,1,3,0,3
Weymouth,2016,2,0,4,24,0,23
Wilmington,2016,1,0,2,3,1,4
Winchester,2016,1,0,1,1,0,2
Winthrop,2016,0,0,0,2,0,4
Woburn,2016,3,0,4,18,1,19
Wrentham,2016,1,0,1,0,0,1
